Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0028,1882,61179,293045,282998,-203572,-187114,-59378,1
0.7500,1942,18143,215928,250401,-216551,-178695,-456,1
1.5083,1851,-8960,216979,260176,-186939,-216660,-851,1
2.2444,1918,44673,263366,318727,-98951,-208904,-4679,0
2.9889,1830,-41233,-146821,21343,204148,287572,-16871,1
3.7444,1688,-268890,237236,170548,-153095,-269649,-26079,1
4.4833,1937,62869,294749,316199,-70105,-144446,15680,0
5.2278,1819,-5361,212526,254048,-206158,-176863,-35098,1
5.9778,1849,-68016,167765,254127,-254919,-186652,-88758,1
6.7389,1914,32759,244363,322567,-128226,-203821,-28927,0
7.4806,1983,91120,346539,318368,-197763,-250551,-77315,0
8.2333,1853,-35281,191101,283273,-209612,-208761,-56726,1
8.9972,1859,-25493,190313,309924,-152479,-252790,-53333,1
9.7417,1900,-39309,-134096,36199,162934,370726,31052,1
10.4917,1880,5044,256832,346453,-87145,-236503,-59925,0
11.2444,1901,50980,209567,296334,-259106,-184303,-45473,1
11.9972,1863,-44028,212487,286203,-183483,-219701,-61473,1
12.7333,1873,33817,260712,308969,-172288,-186832,-48234,0
13.4778,1873,44802,-112975,20566,225855,309457,50762,1
14.2389,1868,-13503,-171873,-16028,204049,292359,57555,1
14.9889,1912,13615,191689,302452,-115335,-215296,-68904,1
15.7333,1853,33248,203723,277325,-173633,-209349,-65997,1
16.4861,1923,87100,-120162,32937,248853,306578,30683,1
17.2444,1937,77999,315892,340204,104,-213914,73142,0
18.0694,1863,-370374,386073,105294,2726,-301804,98265,1
18.7472,1794,-120984,149368,198779,-342690,-222438,-144928,1
19.4778,2111,69001,-378637,73050,-44029,317974,-260016,1
20.2639,1776,-19195,236186,283754,-78502,-180097,-28811,0
21.0333,2169,413076,232974,451177,-103584,-141567,52638,0
21.7667,2068,170099,-359339,150565,-11538,388423,-194018,1
22.5500,1768,-140686,-193238,-53005,150523,290232,-28018,1
23.3167,2097,39852,243943,378387,-57104,-185918,94447,0
24.0833,1862,12766,228259,243935,-191343,-184068,-6103,1
24.8306,1930,42083,284681,344682,-6686,-200137,18648,0
25.5917,1881,6757,197481,247769,-206991,-170053,-15679,1
26.3639,1854,-11697,-142211,-25537,168370,319518,50314,1
27.1167,1930,38307,259344,290155,-85530,-216376,-95671,0
27.8778,1818,9012,-192510,23491,223641,290069,-35406,1
28.6528,1995,81969,391316,274868,97414,-257050,236012,0
29.3972,1794,116528,286308,330823,-138562,-193956,-32293,0
30.1556,1938,76210,164298,340988,-188110,-241618,-32721,1
30.9139,1845,-17792,220345,227457,-228762,-168490,-50247,1
31.6528,1828,4521,224800,280171,-140663,-191410,-43972,1
32.4056,1907,69879,-212171,-24647,109924,364242,65108,1
33.1639,1886,7376,296888,272769,-178465,-184770,32913,1
33.9167,1857,61498,280276,317425,-177559,-232338,-87756,0
34.6694,2011,576185,97831,589281,-289134,-90642,-188367,1
35.4361,1979,13268,210509,270074,-188897,-232012,-71619,1
36.1778,1881,186176,-188995,198485,177138,356303,-102262,1
36.7917,2118,108613,971828,217902,583028,-5716,536709,1
37.6917,1890,6189,-125934,3868,177717,341711,39546,1
38.4333,1936,169965,273388,307716,-181547,-168834,-84114,0
39.1944,1910,28146,207042,262946,-229082,-197026,-6360,1
39.9556,1880,6176,-182143,271,179327,304732,21259,1
40.6917,1848,-27561,-129769,-13279,235506,304321,95110,1
41.4444,1864,23467,-138028,21391,205190,278762,45041,1
42.1917,1845,-3744,-165283,2022,245905,260464,26625,1
42.9250,1853,-7972,188628,276689,-197229,-196405,-52731,1
43.6806,1873,29421,198056,229549,-233987,-212762,8122,1
44.4222,1902,72390,196938,314691,-118943,-186696,-88123,0
45.1639,1848,-67907,193377,235199,-157394,-193382,-38442,1
45.9139,1857,-70261,183492,247113,-193748,-221172,-57574,1
46.6556,1828,73057,-139428,-14484,170670,295351,46326,1
47.3944,1818,5126,-142299,-20363,198486,282746,64802,1
48.1500,1865,-17784,179696,264157,-240755,-221223,-85270,1
48.8889,1884,4573,244035,250665,-214619,-120380,-40882,1
49.6333,1836,-69196,-157479,-25135,196093,278512,74888,1
50.3889,1908,26954,198978,296566,-156042,-246831,-49280,1
51.1333,1889,30724,240794,313506,-123674,-198433,-63757,0
51.8778,1812,-41595,150735,290167,-113822,-185689,-39320,1
52.6389,1860,-30937,209547,225478,-231018,-188279,-7777,1
53.3722,1856,-64602,-170304,23196,237686,282539,67915,1
54.1056,1836,-13796,209650,268208,-155054,-207482,-19275,1
54.8528,1875,-51791,217469,276796,-121087,-221428,-31150,1
55.5750,1910,77958,301137,297187,-129182,-163787,-34928,0
56.9750,1950,55273,293797,283875,-229444,-260029,-49290,1
57.7028,1906,35877,218528,288449,-213841,-166009,-56735,1
58.4333,1830,-11017,235553,251359,-186442,-181222,-23009,1
59.1806,1859,-11298,-224742,55638,172211,336946,-44447,1
59.9194,1934,54312,294276,240322,-183986,-188163,47501,1
60.6472,1820,17257,307272,259179,-126475,-205556,6317,0
61.5000,2057,90026,729038,295155,516693,54362,448913,0
62.0000,1937,113726,228174,323482,-148081,-232924,-104787,0
62.7528,1889,-54774,-152967,25545,213557,339718,85963,1
63.6917,2049,30834,312705,305140,-74524,-243593,8499,0
