Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.3500,2099,349602,-719455,-653333,22699,395248,134962,0
1.1222,2153,286350,-907916,-582095,105695,406069,72554,0
1.8972,2094,199597,-903985,-592642,47533,442340,136806,0
2.6806,2039,90177,-988997,-565449,91444,529524,156578,0
3.4556,2052,176142,-799122,-535376,-50293,486119,190583,0
4.2278,2144,307621,-867998,-590675,30742,436504,99517,0
5.0000,2104,141853,-960819,-493870,197491,481019,-11531,0
5.7833,2051,139041,-906799,-592847,35168,470983,165923,0
6.5722,2066,53316,-975574,-478297,118787,525174,86771,0
7.3528,2074,272409,-681087,-565857,-13846,387012,139050,0
8.1278,2108,316378,-895786,-561830,100571,400478,85288,0
8.9083,2106,148476,-917202,-469335,206399,439030,24238,0
9.6917,2044,113300,-930988,-600272,82142,513399,217036,0
10.4694,2102,131843,-850591,-485486,115708,461440,-21248,0
11.2444,2124,262763,-872630,-474403,183651,390368,31603,0
12.0278,2082,170597,-835271,-549637,126439,453351,53412,0
12.8278,2061,21685,-988528,-464438,199018,487697,29713,0
13.6278,2098,20597,-978487,-548113,143017,499423,66893,0
14.4083,2133,367137,-748266,-645605,-38110,405753,235321,0
15.1778,2080,111051,-930661,-460135,191386,466178,58596,0
15.9750,2065,102761,-986821,-584259,52956,514350,200265,0
16.7583,2022,52541,-844819,-558331,24067,514174,162555,0
17.5306,2077,246942,-726999,-623721,46285,432313,140215,0
18.2889,2153,133736,-893171,-473837,123225,455717,9794,0
19.0667,2022,109068,-974853,-562525,40127,517815,160739,0
19.8444,2016,53822,-977169,-593372,70986,547438,255696,0
20.6194,2000,122535,-747241,-546055,26135,430873,189764,0
21.3778,2084,168961,-825301,-506303,89669,435132,-1161,0
22.1417,2064,112397,-934505,-449279,181173,481837,60957,0
22.9139,2076,-73591,-1107851,-450961,264612,553771,48247,0
23.6944,1966,-86197,-990998,-505913,90746,554942,184343,0
24.4556,2057,134444,-739073,-457501,65547,450460,119488,0
25.2222,2070,217014,-803420,-594029,-25635,435501,193487,0
25.9944,2042,37153,-935514,-546523,173202,507804,162365,0
26.7861,2053,-97940,-1084867,-401744,250781,512964,9443,0
27.5750,2050,137749,-694065,-457970,137511,438166,38112,0
28.3611,2113,217774,-894592,-502277,172712,393042,18301,0
29.1444,2098,291828,-802012,-645970,-23453,381291,230352,0
29.9417,2066,165324,-849091,-600800,-1811,486547,216267,0
30.7361,2063,42685,-974180,-514379,110113,476235,70350,0
31.5194,2084,182945,-817657,-548302,97928,439989,76832,0
32.3000,2093,184740,-942508,-527305,173920,419033,32477,0
33.0861,2076,33376,-960957,-416615,232410,489607,4052,0
33.8750,2061,-41489,-1119202,-438634,204885,564124,32899,0
34.6639,2035,94776,-705585,-539902,-17761,458685,118443,0
35.4389,2111,238506,-822943,-551947,108622,441084,68819,0
36.2250,2054,100308,-889691,-561915,72086,502581,187154,0
37.0194,2039,17858,-987507,-502472,161387,544229,127016,0
37.8167,1997,-28896,-956986,-513457,109874,520218,129467,0
38.6056,2063,129044,-848210,-450314,171500,490025,52669,0
39.3889,2078,202736,-809118,-615877,6546,444249,207683,0
40.1806,2047,92286,-844331,-601277,35983,517600,252981,0
40.9694,2009,-49273,-999640,-463959,170410,562321,126077,0
41.7472,2023,52713,-770346,-462887,107478,467625,80731,0
42.5250,2094,215537,-794103,-499697,109724,432368,-13990,0
43.3028,2054,122925,-854343,-521794,132820,476735,87295,0
44.0917,2071,82891,-924249,-592458,40112,522061,231600,0
44.8833,2023,78168,-842067,-575742,-19678,459930,256072,0
45.6583,2093,271769,-691601,-582243,-67936,386399,112249,0
46.4389,2034,194708,-785498,-552548,51286,423399,199192,0
47.2278,2025,-7637,-1002483,-421176,196091,505415,54280,0
48.0250,2024,-27005,-944806,-426390,205952,495499,76728,0
48.8167,2057,192547,-683989,-564099,28963,431306,66694,0
49.5889,2091,263525,-818400,-555106,60306,425886,87042,0
50.3778,2066,71723,-889774,-447204,193885,484717,46911,0
51.1694,1999,-78188,-1004999,-467365,218653,548557,65083,0
51.9528,2037,9478,-808210,-371450,193149,455575,16315,0
52.7194,2128,219893,-859178,-533325,139517,462547,22314,0
53.4917,2094,146887,-889238,-518076,228175,473525,-19941,0
54.2583,2057,88459,-849607,-544428,143991,522415,165201,0
55.0500,2050,-78547,-1008224,-390948,270503,547962,25126,0
55.8306,2038,37288,-779506,-463712,193751,467494,27889,0
56.6028,2079,250303,-772358,-544553,57961,433475,80092,0
57.3722,2118,148128,-856964,-490495,177415,476123,64133,0
58.1528,2001,-2527,-941166,-497566,135917,543199,130158,0
58.9444,2021,-92377,-911211,-405559,280911,531387,97583,0
59.7194,2094,295179,-712913,-649577,-25885,356119,247695,0
60.4944,2018,153077,-743385,-553498,97661,469966,146036,0
61.2806,2046,-51698,-984812,-419215,216803,532578,-21340,0
62.0778,2009,-78332,-941714,-440524,186151,541185,115692,0
62.8611,2036,145142,-650754,-480388,108696,407621,82891,0
63.6417,2100,333626,-765377,-559598,2692,415298,199083,0
64.4139,2065,201420,-914477,-410912,188256,473597,-23205,1
65.1778,2118,28682,-1031557,-494035,199127,540084,-5362,0
