c0,c1,c2,c3,c4,c5,label
-16.65500000000001,-2.438000000000006,-2.1849144970918837,0.3057406305855731,-0.3939138442656304,-0.0017162524665737943,0
-17.680000000000007,-4.688000000000025,-2.3751455644372914,0.08008274765417712,-0.7185487212820248,0.0688833544168633,0
-21.015000000000004,-1.194000000000032,-2.573804707503508,-0.08156790257798628,-0.43681390385154667,0.19589825729800323,0
-22.765000000000004,11.504000000000016,-2.606541873312001,0.05915494537804166,-0.6466741889293063,0.31985025879171897,0
-21.770000000000003,-1.1799999999999589,-2.452891674695332,0.1574078957437655,-0.4483476101015524,-0.027685444957545425,0
-20.939999999999994,-3.8259999999999685,-2.464550698231616,0.274479295262791,-0.47652259888531684,-0.008430164730349335,0
-18.82999999999999,-2.013999999999996,-2.4636127466606714,0.10757016921153874,-0.4637017079281238,0.1183424469971233,0
-21.764999999999997,-0.9020000000000028,-2.539119607324077,-0.17774002666609567,-0.8280453554650238,0.16535911979177406,0
-21.604999999999993,-1.2360000000000593,-2.5537879918980493,0.29697010405810864,-0.5691850279064056,0.025182938383339314,0
-19.840000000000003,-3.9899999999999993,-2.3973359282440105,0.45403355686809255,-0.4323964439397919,-0.14577319556855134,0
-18.26,-0.0659999999999652,-2.3391380108019773,-0.06800996680654979,-0.3758752753025206,0.16031229768973765,0
-20.095000000000006,-3.3500000000000183,-2.3392670747458544,0.3437779779629092,-0.4750548283871674,-0.09951887205376533,0
-18.134999999999998,-0.6559999999999997,-2.415771068199243,-0.024466870458805377,-0.45012554037515007,0.14824957781508638,0
-19.299999999999994,4.961999999999989,-2.427076932208692,0.16676688015862,-0.6135708432236435,0.24297722131929295,0
-21.264999999999997,-4.482000000000026,-2.4060342276309736,0.292629897973588,-0.6286187983037709,-0.04097851661762301,0
-21.22,-0.3199999999999381,-2.4619293802216298,-0.08404761884078303,-0.649428777921583,0.16380900840151533,0
-20.195,-0.654000000000007,-2.4692804973018236,0.09071350428836969,-0.488539675387538,0.07574641709213537,0
-19.779999999999998,0.18000000000000327,-2.374303157406233,0.0906882041548046,-0.43645459557823224,0.07805790662469378,0
-17.334999999999997,-0.26399999999999313,-2.286292938036581,-0.07658137059791068,-0.9168871425966394,0.25826985834546246,0
-20.78,-0.1940000000000115,-2.538358516421875,0.03211468159621972,-0.44848902014386754,0.06683973938891853,0
